Desarrollo del talento,V,Ingeniería de Sistemas Computacionales1,Ingeniería Civil1,Ingeniería Industrial1,Ingeniería Agroindustrial1,Ingeniería Ambiental1,Ingeniería de Minas1,Ingeniería Electrónica1,Ingeniería en Logística y Transporte1,Ingeniería Geológica1,Ingeniería Mecatrónica1,Ingeniería Empresarial1
Complemento matemático para ingenieros,P,Ingeniería de Sistemas Computacionales1,Ingeniería Civil1,Ingeniería Industrial1,Ingeniería Agroindustrial1,Ingeniería Ambiental1,Ingeniería de Minas1,Ingeniería Electrónica1,Ingeniería en Logística y Transporte1,Ingeniería Geológica1,Ingeniería Mecatrónica1,Ingeniería Empresarial1
Introducción a la ingeniería industrial,P,Ingeniería Industrial1,,,,,,,,,,
Introducción a la ingeniería civil,P,Ingeniería Civil1,,,,,,,,,,
Química inorgánica,P,Ingeniería Civil1,Ingeniería Industrial1,Ingeniería Ambiental2,Ingeniería de Minas3,Ingeniería en Logística y Transporte1,Ingeniería Geológica2,,,,,
Introducción a la ingeniería de sistemas computacionales,P,Ingeniería de Sistemas Computacionales1,,,,,,,,,,
Responsabilidad social,V,Ingeniería de Sistemas Computacionales1,Ingeniería Civil1,Ingeniería Industrial1,Ingeniería Agroindustrial1,Ingeniería Ambiental2,Ingeniería de Minas1,Ingeniería Electrónica1,Ingeniería en Logística y Transporte3,Ingeniería Geológica1,Ingeniería Mecatrónica1,
Comunicación 1,V,Ingeniería de Sistemas Computacionales1,Ingeniería Civil1,Ingeniería Industrial1,Ingeniería Agroindustrial1,Ingeniería Ambiental1,Ingeniería de Minas1,Ingeniería Electrónica1,Ingeniería en Logística y Transporte1,Ingeniería Geológica1,Ingeniería Mecatrónica1,Ingeniería Empresarial1
Representación gráfica,P,Ingeniería Civil2,,,,,,,,,,
Matemática básica para ingeniería,P,Ingeniería de Sistemas Computacionales2,Ingeniería Civil2,Ingeniería Industrial2,Ingeniería Agroindustrial2,Ingeniería Ambiental2,Ingeniería de Minas2,Ingeniería Electrónica2,Ingeniería en Logística y Transporte2,Ingeniería Geológica2,Ingeniería Mecatrónica2,Ingeniería Empresarial2
Fundamentos de algoritmos,P,Ingeniería de Sistemas Computacionales2,,,,,,,,,,
Geología,P,Ingeniería Civil2,Ingeniería de Minas5,,,,,,,,,
Dibujo y diseño de ingeniería,P,Ingeniería Industrial2,Ingeniería Ambiental2,Ingeniería Electrónica2,Ingeniería en Logística y Transporte2,Ingeniería Mecatrónica3,,,,,,
Economía,P,Ingeniería Industrial2,Ingeniería en Logística y Transporte2,Ingeniería Empresarial1,,,,,,,,
Gestión contable,P,Ingeniería Industrial2,Ingeniería en Logística y Transporte3,Ingeniería Empresarial2,,,,,,,,
Metodología universitaria,V,Ingeniería de Sistemas Computacionales2,Ingeniería Civil2,Ingeniería Industrial2,Ingeniería Agroindustrial4,Ingeniería Ambiental2,Ingeniería de Minas2,Ingeniería Electrónica2,Ingeniería en Logística y Transporte2,Ingeniería Geológica2,Ingeniería Mecatrónica2,Ingeniería Empresarial2
Pre Beginner 1,V,Ingeniería de Sistemas Computacionales2,Ingeniería Civil2,Ingeniería Industrial3,Ingeniería Agroindustrial2,Ingeniería Ambiental1,Ingeniería de Minas2,Ingeniería Electrónica1,Ingeniería en Logística y Transporte2,Ingeniería Geológica2,Ingeniería Mecatrónica2,Ingeniería Empresarial3
Comunicación 2,V,Ingeniería de Sistemas Computacionales2,Ingeniería Civil2,Ingeniería Industrial2,Ingeniería Agroindustrial2,Ingeniería Ambiental2,Ingeniería de Minas2,Ingeniería Electrónica2,Ingeniería en Logística y Transporte2,Ingeniería Geológica2,Ingeniería Mecatrónica2,Ingeniería Empresarial2
Geometría descriptiva,P,Ingeniería Civil3,Ingeniería de Minas4,Ingeniería Geológica4,,,,,,,,
Cálculo 1,P,Ingeniería de Sistemas Computacionales3,Ingeniería Civil3,Ingeniería Industrial3,Ingeniería Agroindustrial3,Ingeniería Ambiental3,Ingeniería de Minas3,Ingeniería Electrónica3,Ingeniería en Logística y Transporte3,Ingeniería Geológica3,Ingeniería Mecatrónica3,Ingeniería Empresarial3
Fundamentos de programación,P,Ingeniería de Sistemas Computacionales3,,,,,,,,,,
Matemática discreta,P,Ingeniería de Sistemas Computacionales3,Ingeniería Electrónica3,,,,,,,,,
